MTB	1	1524	CDS
MTB	2052	3260	CDS
MTB	3280	4437	CDS
MTB	4434	4997	CDS
MTB	5240	7267	CDS
MTB	7302	9818	CDS
MTB	9914	10828	CDS
MTB	10887	10960	tRNA
MTB	11112	11184	tRNA
MTB	11874	12311	CDS
MTB	12468	13016	CDS
MTB	13133	13558	CDS
MTB	13714	13995	CDS
MTB	14089	14877	CDS
MTB	14914	15612	CDS
MTB	15590	17470	CDS
MTB	17467	18762	CDS
MTB	18759	20234	CDS
MTB	20231	21640	CDS
MTB	21637	23181	CDS
MTB	23173	23273	Repeat_Region
MTB	23270	23737	CDS
MTB	23861	25444	CDS
MTB	25644	25726	tRNA
MTB	25913	26881	CDS
MTB	27023	27442	CDS
MTB	27595	28365	CDS
MTB	28362	29207	CDS
MTB	29245	29607	CDS
MTB	29722	31068	CDS
MTB	31189	31506	CDS
MTB	31514	31819	CDS
MTB	32057	33154	CDS
MTB	33224	33553	CDS
MTB	34295	36610	CDS
MTB	36607	36870	CDS
MTB	36867	37262	CDS
MTB	37259	38947	CDS
MTB	39056	39829	CDS
MTB	39877	41202	CDS
MTB	41304	41912	CDS
MTB	42004	42351	CDS
MTB	42433	43365	CDS
MTB	43562	46471	CDS
MTB	46581	47207	CDS
MTB	47366	48100	CDS
MTB	48233	49027	CDS
MTB	49043	49939	CDS
MTB	50021	51124	CDS
MTB	51185	51727	CDS
MTB	51828	52697	CDS
MTB	52831	53244	CDS
MTB	53663	55699	CDS
MTB	55696	57378	CDS
MTB	57410	57973	CDS
MTB	58192	58482	CDS
MTB	58586	59080	CDS
MTB	59122	59376	CDS
MTB	59409	59867	CDS
MTB	59896	60417	CDS
MTB	60396	63020	CDS
MTB	63200	63892	CDS
MTB	63909	64967	CDS
MTB	65012	65350	CDS
MTB	65552	66694	CDS
MTB	66923	68362	CDS
MTB	68418	68579	CDS
MTB	68620	71559	CDS
MTB	71589	71828	CDS
MTB	71821	72222	CDS
MTB	72274	74511	CDS
MTB	74629	75198	CDS
MTB	75301	76212	CDS
MTB	76237	77622	CDS
MTB	77619	78896	CDS
MTB	79486	80193	CDS
MTB	79507	79551	Repeat_Region
MTB	80236	80550	Repeat_Region
MTB	80624	81673	CDS
MTB	81676	82668	CDS
MTB	82748	83983	CDS
MTB	83996	85168	CDS
MTB	85183	85572	CDS
MTB	85636	86466	CDS
MTB	86528	87133	CDS
MTB	87208	87801	CDS
MTB	87798	88004	CDS
MTB	88204	89025	CDS
MTB	89022	89480	CDS
MTB	89575	89919	CDS
MTB	89924	90403	CDS
MTB	90400	92322	CDS
MTB	92328	93278	CDS
MTB	93289	93951	CDS
MTB	93951	95417	CDS
MTB	95414	96892	CDS
MTB	96927	97601	CDS
MTB	97758	98351	CDS
MTB	98480	99250	CDS
MTB	99684	100451	CDS
MTB	100583	102868	CDS
MTB	102815	103663	CDS
MTB	103710	104663	CDS
MTB	103713	105215	Repeat_Region
MTB	104805	105215	CDS
MTB	105324	106715	CDS
MTB	106734	107603	CDS
MTB	107600	108151	CDS
MTB	108156	109778	CDS
MTB	109783	110019	CDS
MTB	110001	117539	CDS
MTB	117714	119699	CDS
MTB	119915	122173	CDS
MTB	122317	123831	CDS
MTB	123980	124264	CDS
MTB	124374	125570	CDS
MTB	125643	130541	CDS
MTB	130895	131104	CDS
MTB	131382	132872	CDS
MTB	133020	133769	CDS
